class: 0, accuracy: 118/1063 = 0.111 
class: 1, accuracy: 475/1061 = 0.448 
class: 2, accuracy: 193/955 = 0.202 
class: 3, accuracy: 161/818 = 0.197 
class: 4, accuracy: 316/854 = 0.370 
class: 5, accuracy: 613/998 = 0.614 
class: 6, accuracy: 411/925 = 0.444 
class: 7, accuracy: 301/905 = 0.333 
class: 8, accuracy: 502/955 = 0.526 
class: 9, accuracy: 186/1050 = 0.177 
class: 10, accuracy: 12/1006 = 0.012 
class: 11, accuracy: 154/993 = 0.155 
class: 12, accuracy: 175/978 = 0.179 
class: 13, accuracy: 358/934 = 0.383 
class: 14, accuracy: 459/1058 = 0.434 
class: 15, accuracy: 299/1033 = 0.289 
class: 16, accuracy: 45/956 = 0.047 
class: 17, accuracy: 234/935 = 0.250 
class: 18, accuracy: 488/930 = 0.525 
class: 19, accuracy: 191/990 = 0.193 
class: 20, accuracy: 301/1005 = 0.300 
class: 21, accuracy: 41/914 = 0.045 
class: 22, accuracy: 341/917 = 0.372 
class: 23, accuracy: 393/931 = 0.422 
class: 24, accuracy: 163/719 = 0.227 
class: 25, accuracy: 338/1026 = 0.329 
class: 26, accuracy: 216/1006 = 0.215 
class: 27, accuracy: 256/982 = 0.261 
class: 28, accuracy: 735/956 = 0.769 
class: 29, accuracy: 68/830 = 0.082 
class: 30, accuracy: 742/1007 = 0.737 
class: 31, accuracy: 7/750 = 0.009 
class: 32, accuracy: 150/1041 = 0.144 
class: 33, accuracy: 737/1031 = 0.715 
class: 34, accuracy: 75/874 = 0.086 
class: 35, accuracy: 475/890 = 0.534 
class: 36, accuracy: 459/994 = 0.462 
class: 37, accuracy: 473/920 = 0.514 
class: 38, accuracy: 323/993 = 0.325 
class: 39, accuracy: 64/998 = 0.064 
class: 40, accuracy: 131/976 = 0.134 
class: 41, accuracy: 258/978 = 0.264 
class: 42, accuracy: 406/996 = 0.408 
class: 43, accuracy: 375/911 = 0.412 
class: 44, accuracy: 289/992 = 0.291 
class: 45, accuracy: 353/1147 = 0.308 
class: 46, accuracy: 449/906 = 0.496 
class: 47, accuracy: 212/1000 = 0.212 
class: 48, accuracy: 393/983 = 0.400 
class: 49, accuracy: 377/1047 = 0.360 
class: 50, accuracy: 611/1058 = 0.578 
class: 51, accuracy: 464/907 = 0.512 
class: 52, accuracy: 710/1008 = 0.704 
class: 53, accuracy: 85/715 = 0.119 
class: 54, accuracy: 205/679 = 0.302 
class: 55, accuracy: 228/715 = 0.319 
class: 56, accuracy: 536/862 = 0.622 
class: 57, accuracy: 474/911 = 0.520 
class: 58, accuracy: 204/1005 = 0.203 
class: 59, accuracy: 533/929 = 0.574 
class: 60, accuracy: 262/970 = 0.270 
class: 61, accuracy: 172/942 = 0.183 
class: 62, accuracy: 281/776 = 0.362 
class: 63, accuracy: 235/1033 = 0.227 
class: 64, accuracy: 461/968 = 0.476 
class: 65, accuracy: 426/1011 = 0.421 
class: 66, accuracy: 275/716 = 0.384 
class: 67, accuracy: 237/993 = 0.239 
class: 68, accuracy: 365/945 = 0.386 
class: 69, accuracy: 219/705 = 0.311 
class: 70, accuracy: 621/911 = 0.682 
class: 71, accuracy: 85/1016 = 0.084 
class: 72, accuracy: 87/1063 = 0.082 
class: 73, accuracy: 473/840 = 0.563 
class: 74, accuracy: 351/946 = 0.371 
class: 75, accuracy: 660/998 = 0.661 
class: 76, accuracy: 229/979 = 0.234 
class: 77, accuracy: 200/863 = 0.232 
class: 78, accuracy: 587/951 = 0.617 
class: 79, accuracy: 292/803 = 0.364 
class: 80, accuracy: 221/1029 = 0.215 
class: 81, accuracy: 107/1003 = 0.107 
class: 82, accuracy: 128/998 = 0.128 
class: 83, accuracy: 511/1020 = 0.501 
class: 84, accuracy: 331/962 = 0.344 
class: 85, accuracy: 459/979 = 0.469 
class: 86, accuracy: 667/1020 = 0.654 
class: 87, accuracy: 421/802 = 0.525 
class: 88, accuracy: 73/984 = 0.074 
class: 89, accuracy: 130/1055 = 0.123 
class: 90, accuracy: 261/979 = 0.267 
class: 91, accuracy: 474/969 = 0.489 
class: 92, accuracy: 656/997 = 0.658 
class: 93, accuracy: 682/937 = 0.728 
class: 94, accuracy: 117/935 = 0.125 
class: 95, accuracy: 165/985 = 0.168 
class: 96, accuracy: 327/951 = 0.344 
class: 97, accuracy: 398/1063 = 0.374 
class: 98, accuracy: 376/887 = 0.424 
class: 99, accuracy: 596/859 = 0.694 
class: 100, accuracy: 178/731 = 0.244 
class: 101, accuracy: 239/618 = 0.387 
class: 102, accuracy: 690/996 = 0.693 
class: 103, accuracy: 344/941 = 0.366 
class: 104, accuracy: 298/852 = 0.350 
class: 105, accuracy: 586/1039 = 0.564 
class: 106, accuracy: 436/924 = 0.472 
class: 107, accuracy: 405/973 = 0.416 
class: 108, accuracy: 237/714 = 0.332 
class: 109, accuracy: 188/811 = 0.232 
Total accuracy: 0.354 
