class: 0, accuracy: 707/1063 = 0.665 
class: 1, accuracy: 533/1061 = 0.502 
class: 2, accuracy: 537/955 = 0.562 
class: 3, accuracy: 777/818 = 0.950 
class: 4, accuracy: 820/854 = 0.960 
class: 5, accuracy: 839/998 = 0.841 
class: 6, accuracy: 875/925 = 0.946 
class: 7, accuracy: 817/905 = 0.903 
class: 8, accuracy: 853/955 = 0.893 
class: 9, accuracy: 588/1050 = 0.560 
class: 10, accuracy: 508/1006 = 0.505 
class: 11, accuracy: 726/993 = 0.731 
class: 12, accuracy: 721/978 = 0.737 
class: 13, accuracy: 641/934 = 0.686 
class: 14, accuracy: 795/1058 = 0.751 
class: 15, accuracy: 832/1033 = 0.805 
class: 16, accuracy: 672/956 = 0.703 
class: 17, accuracy: 727/935 = 0.778 
class: 18, accuracy: 834/930 = 0.897 
class: 19, accuracy: 739/990 = 0.746 
class: 20, accuracy: 774/1005 = 0.770 
class: 21, accuracy: 787/914 = 0.861 
class: 22, accuracy: 872/917 = 0.951 
class: 23, accuracy: 704/931 = 0.756 
class: 24, accuracy: 512/719 = 0.712 
class: 25, accuracy: 774/1026 = 0.754 
class: 26, accuracy: 458/1006 = 0.455 
class: 27, accuracy: 622/982 = 0.633 
class: 28, accuracy: 902/956 = 0.944 
class: 29, accuracy: 764/830 = 0.920 
class: 30, accuracy: 887/1007 = 0.881 
class: 31, accuracy: 715/750 = 0.953 
class: 32, accuracy: 626/1041 = 0.601 
class: 33, accuracy: 665/1031 = 0.645 
class: 34, accuracy: 765/874 = 0.875 
class: 35, accuracy: 820/890 = 0.921 
class: 36, accuracy: 928/994 = 0.934 
class: 37, accuracy: 858/920 = 0.933 
class: 38, accuracy: 865/993 = 0.871 
class: 39, accuracy: 685/998 = 0.686 
class: 40, accuracy: 667/976 = 0.683 
class: 41, accuracy: 711/978 = 0.727 
class: 42, accuracy: 822/996 = 0.825 
class: 43, accuracy: 806/911 = 0.885 
class: 44, accuracy: 591/992 = 0.596 
class: 45, accuracy: 736/1147 = 0.642 
class: 46, accuracy: 771/906 = 0.851 
class: 47, accuracy: 725/1000 = 0.725 
class: 48, accuracy: 818/983 = 0.832 
class: 49, accuracy: 833/1047 = 0.796 
class: 50, accuracy: 872/1058 = 0.824 
class: 51, accuracy: 774/907 = 0.853 
class: 52, accuracy: 787/1008 = 0.781 
class: 53, accuracy: 668/715 = 0.934 
class: 54, accuracy: 665/679 = 0.979 
class: 55, accuracy: 691/715 = 0.966 
class: 56, accuracy: 781/862 = 0.906 
class: 57, accuracy: 846/911 = 0.929 
class: 58, accuracy: 800/1005 = 0.796 
class: 59, accuracy: 865/929 = 0.931 
class: 60, accuracy: 830/970 = 0.856 
class: 61, accuracy: 674/942 = 0.715 
class: 62, accuracy: 539/776 = 0.695 
class: 63, accuracy: 797/1033 = 0.772 
class: 64, accuracy: 849/968 = 0.877 
class: 65, accuracy: 825/1011 = 0.816 
class: 66, accuracy: 524/716 = 0.732 
class: 67, accuracy: 895/993 = 0.901 
class: 68, accuracy: 871/945 = 0.922 
class: 69, accuracy: 633/705 = 0.898 
class: 70, accuracy: 856/911 = 0.940 
class: 71, accuracy: 633/1016 = 0.623 
class: 72, accuracy: 472/1063 = 0.444 
class: 73, accuracy: 753/840 = 0.896 
class: 74, accuracy: 872/946 = 0.922 
class: 75, accuracy: 925/998 = 0.927 
class: 76, accuracy: 797/979 = 0.814 
class: 77, accuracy: 791/863 = 0.917 
class: 78, accuracy: 882/951 = 0.927 
class: 79, accuracy: 737/803 = 0.918 
class: 80, accuracy: 821/1029 = 0.798 
class: 81, accuracy: 495/1003 = 0.494 
class: 82, accuracy: 610/998 = 0.611 
class: 83, accuracy: 840/1020 = 0.824 
class: 84, accuracy: 797/962 = 0.828 
class: 85, accuracy: 760/979 = 0.776 
class: 86, accuracy: 715/1020 = 0.701 
class: 87, accuracy: 752/802 = 0.938 
class: 88, accuracy: 530/984 = 0.539 
class: 89, accuracy: 487/1055 = 0.462 
class: 90, accuracy: 479/979 = 0.489 
class: 91, accuracy: 816/969 = 0.842 
class: 92, accuracy: 895/997 = 0.898 
class: 93, accuracy: 826/937 = 0.882 
class: 94, accuracy: 598/935 = 0.640 
class: 95, accuracy: 798/985 = 0.810 
class: 96, accuracy: 785/951 = 0.825 
class: 97, accuracy: 836/1063 = 0.786 
class: 98, accuracy: 818/887 = 0.922 
class: 99, accuracy: 838/859 = 0.976 
class: 100, accuracy: 685/731 = 0.937 
class: 101, accuracy: 480/618 = 0.777 
class: 102, accuracy: 925/996 = 0.929 
class: 103, accuracy: 851/941 = 0.904 
class: 104, accuracy: 747/852 = 0.877 
class: 105, accuracy: 864/1039 = 0.832 
class: 106, accuracy: 829/924 = 0.897 
class: 107, accuracy: 808/973 = 0.830 
class: 108, accuracy: 628/714 = 0.880 
class: 109, accuracy: 763/811 = 0.941 
Total accuracy: 0.793 
